person_id,rankings
542ce421-1065-4fd6-99b6-a42b9465237d,30
18eb0c77-2629-4226-989a-1e5e55f4a217,58
91593c2c-63af-488d-9b8d-9609f0b33477,10
f9bd6f73-c067-49de-af73-8c4eec072b2b,105
b81784a8-6d02-4f6f-853f-c484a7210017,20
62cafb3f-2d4e-454f-bf74-90ba4e93f63b,212
db0d4410-a5d4-4fd3-be47-e4b16df85a42,5
2555ffe2-7489-4599-8052-451c29f0af5f,30
05f8f7f3-9a87-440e-9060-c13404dc524f,38
becd1c50-786e-4546-85a9-9a13ff47e2d2,53
845fd1fb-0d0e-4e2e-a1f7-48ddc4146d8a,150
ee04c3ee-b070-45cf-a375-40d80b9f6456,40
e97c521a-1a95-4cd7-b8d2-172c02ebae1e,23
1725ebb6-4734-43b4-9732-acd5f158d03f,55
54242795-1e96-4524-baaa-10304d83dd2e,13
724b1fdc-60d5-4f46-89d9-ffb829e65be9,10
a7bda247-b888-4d91-8c14-efc7474a1cbf,30
8c9d9f0b-b2ec-4e49-8c5e-49dec1421a08,96
d13ec865-84d7-4e4e-8d44-37c0a2db88a3,110
96de0b90-c9ad-4085-a626-e9a46f3e6cb0,40
c23833a8-5061-47e7-996e-ec99ef314de1,16
83d39728-b372-4525-874d-0a2f97acda41,30
f718bf01-5277-4ab0-9684-ce4e0650c513,40
e0b1e896-5498-4cc9-9e18-d52ed4b88dd8,41
c1b8f725-5a36-4d31-85e6-cc8bcd2c5af8,111
3cd5e0c7-db0b-4d3c-86c8-ca46ef5c610d,100
e38775aa-0be0-4d09-8b2b-20f8234b360e,100
c5184d1a-52e8-438c-9040-6fd726590465,50
69fba0b8-0a09-48ad-8627-efc5480038d1,91
99b53469-70f9-4186-8a2e-25d652591c50,30
9e8afd41-d429-4703-b15d-f89e6e006786,50
1a098aaf-8be5-4403-8c43-01223c6e896d,1
5ee81abc-a170-4ed1-a514-cf9fb7346f0b,41
88b3d6ee-c420-4768-b14e-ac307173b860,40
